p-num,p-title,p-level,p-link,p-tag
1,완주하지못한선수,1,https://school.programmers.co.kr/learn/courses/30/lessons/42576,hash
2,폰켓몬,1,https://school.programmers.co.kr/learn/courses/30/lessons/1845,hash
3,전화번호 목록,2,https://school.programmers.co.kr/learn/courses/30/lessons/42577,hash
4,의상,2,https://school.programmers.co.kr/learn/courses/30/lessons/42578,hash
5,K번째수,1,https://school.programmers.co.kr/learn/courses/30/lessons/42748,정렬
6,가장 큰 수 ,2,https://school.programmers.co.kr/learn/courses/30/lessons/42746,정렬
7,H-Index,2,https://school.programmers.co.kr/learn/courses/30/lessons/42747,정렬
8,최소직사각형,1,https://school.programmers.co.kr/learn/courses/30/lessons/86491,완전탐색
9,모의고사,1,https://school.programmers.co.kr/learn/courses/30/lessons/42840,완전탐색
10,소수찾기,2,https://school.programmers.co.kr/learn/courses/30/lessons/42839,완전탐색
11,카펫,2,https://school.programmers.co.kr/learn/courses/30/lessons/42842,완전탐색
12,피로도,2,https://school.programmers.co.kr/learn/courses/30/lessons/87946,완전탐색
13,전력망을 둘로 나누기,2,https://school.programmers.co.kr/learn/courses/30/lessons/86971,완전탐색
14,모음사전,2,https://school.programmers.co.kr/learn/courses/30/lessons/84512,완전탐색
15,타겟 넘버,2,https://school.programmers.co.kr/learn/courses/30/lessons/43165,DFS/BFS
16,게임 맵 최단거리,2,https://school.programmers.co.kr/learn/courses/30/lessons/1844,DFS/BFS